raw,binomial,common,group,family,domestic
_chicken,Gallus gallus domesticus,domestic chicken,Galliformes,,y
A,,,,,
Aalopochen_Aegyptiaca,Alopochen aegyptiaca,Egyptian goose,Anseriformes,,
African_goose,Anser cygnoides domesticus,domestic goose,Anseriformes,,y
Amazon_parrot,Amazona sp.,Amazon parrot,Psittaciformes,,
American_black_duck,Anas rubripes,American black duck,Anseriformes,,
American_blue-winged_teal,Spatula discors,Blue-winged teal,Anseriformes,,
American_Buff_goose,Anser anser domesticus,domestic goose,Anseriformes,,y
american_crow,Corvus brachyrhynchos,American crow,Passeriformes,,
American_Green-winged_Teal,Anas carolinensis,green-winged teal,Anseriformes,,
American_green-winged_teal,Anas carolinensis,green-winged teal,Anseriformes,,
American_Wigeon,Mareca americana,American wigeon,Anseriformes,,
American_wigeon,Mareca americana,American wigeon,Anseriformes,,
Anas_crecca,Anas crecca,Eurasian teal,Anseriformes,,
Anas_Platyrhynchos,Anas platyrhynchos,mallard,Anseriformes,,
Anas_platyrhynchos,Anas platyrhynchos,mallard,Anseriformes,,
Anas_platyrhynchos_domestica,Anas platyrhynchos domesticus,domestic duck,Anseriformes,,y
Anas_platyrhynchos_domesticus,Anas platyrhynchos domesticus,domestic duck,Anseriformes,,y
Anas_platyrynchos,Anas platyrhynchos,mallard,Anseriformes,,
Anser_albifrons,Anser albifrons,greater white-fronted goose,Anseriformes,,
anser_anser,Anser anser domesticus,domestic goose,Anseriformes,,y
Anser_anser,Anser anser domesticus,domestic goose,Anseriformes,,y
Anser_anser_domesticus,Anser anser domesticus,domestic goose,Anseriformes,,y
Anser_brachyrhynchus,Anser brachyrhynchus,pink footed goose,Anseriformes,,
Anser_Brachyrhynchus_Anser_Anser,Anser brachyrhynchus,pink footed goose,Anseriformes,,
Anser_cygnoides,Anser cygnoides,swan goose,Anseriformes,,
Anser_Fabalis,Anser fabalis,bean goose,Anseriformes,,
Anser_fabalis,Anser fabalis,bean goose,Anseriformes,,
Anser_indicus,Anser indicus,bar-headed goose,Anseriformes,,
Anseriformes,,waterfowl,Anseriformes,,
Arctic_tern,Sterna paradisaea,arctic tern,Charadriiformes,,
Ardea_cinerea,Ardea cinerea,grey heron,Pelecaniformes,,
Armenian_Gull,Larus armenicus,Armenian gull,Charadriiformes,,
australian_brushturkey,Alectura lathami,Australian brushturkey,Galliformes,,
avian,,bird,bird,,
Avian,,bird,bird,,
Aythya_fuligula,Aythya fuligula,tufted duck,Anseriformes,,
Back-headed_Gull,Chroicocephalus ridibundus,black-headed gull,Charadriiformes,,
backyard_poultry,Gallus gallus domesticus,domestic chicken,Galliformes,,y
badger,Meles sp.,badger,Carnivora,,
baikal_teal,Sibirionetta formosa,Baikal teal,Anseriformes,,
Baikal_teal,Sibirionetta formosa,Baikal teal,Anseriformes,,
Bald_Eagle,Haliaeetus leucocephalus,bald eagle,Accipitriformes,,
bald_eagle,Haliaeetus leucocephalus,bald eagle,Accipitriformes,,
bar_headed_goose,Anser indicus,bar-headed goose,Anseriformes,,
Bar-headed_Goose,Anser indicus,bar-headed goose,Anseriformes,,
Bar-headed_goose,Anser indicus,bar-headed goose,Anseriformes,,
barnacle,Branta leucopsis,barnacle goose,Anseriformes,,
Barnacle_goose,Branta leucopsis,barnacle goose,Anseriformes,,
barnacle_goose,Branta leucopsis,barnacle goose,Anseriformes,,
Barnacle_Goose,Branta leucopsis,barnacle goose,Anseriformes,,
Bean_Goose,Anser fabalis,bean goose,Anseriformes,,
bean_goose,Anser fabalis,bean goose,Anseriformes,,
Bean_goose,Anser fabalis,bean goose,Anseriformes,,
Bean_Goose(Anser_fabalis),Anser fabalis,bean goose,Anseriformes,,
bearded_vulture,Gypaetus barbatus,bearded vulture,Accipitriformes,,
Bewick_swan,Cygnus columbianus,tundra swan,Anseriformes,,
Bird,,bird,bird,,
Bk_swan,Cygnus atratus,black swan,Anseriformes,,
Bl_H_gull,Chroicocephalus ridibundus,black-headed gull,Charadriiformes,,
black_chicken,Gallus gallus domesticus,domestic chicken,Galliformes,,y
black_duck,Anas sp.,black duck,Anseriformes,,
black_headed_gull,Chroicocephalus ridibundus,black-headed gull,Charadriiformes,,
black_kite,Milvus migrans,black kite,Accipitriformes,,
Black-necked_Grebe,Podiceps nigricollis,black-necked grebe,Podicipediformes,,
black_skimmer,Rynchops niger,black skimmer,Charadriiformes,,
Black_swan,Cygnus atratus,black swan,Anseriformes,,
black_swan,Cygnus atratus,black swan,Anseriformes,,
black_vulture,Coragyps atratus,black vulture,Accipitriformes,,
black-backed_gull,Larus sp.,black-backed gull,Charadriiformes,,
Black-crowned_night_heron,Nycticorax nycticorax,black-crowned night heron,Pelecaniformes,,
black-headed_gull,Chroicocephalus ridibundus,black-headed gull,Charadriiformes,,
Black-headed_Gull,Chroicocephalus ridibundus,black-headed gull,Charadriiformes,,
Black-headed_gull,Chroicocephalus ridibundus,black-headed gull,Charadriiformes,,
black-headed-gull,Chroicocephalus ridibundus,black-headed gull,Charadriiformes,,
Black-necked_Grebe,Podiceps nigricollis,black-necked grebe,Podicipediformes,,
black-necked_grebe,Podiceps nigricollis,black-necked grebe,Podicipediformes,,
blue-winged_teal,Spatula discors,blue-winged teal,Anseriformes,,
Blue-winged_teal,Spatula discors,blue-winged teal,Anseriformes,,
Bluecrane,Grus paradisea,blue crane,Gruiformes,,
bobcat,Lynx rufus,red lynx,Carnivora,,
bottlenose_dolphin,Tursiops truncatus,common bottlenose dolphin,Cetartiodactyla,,
Brahma_chicken,Gallus gallus domesticus,domestic chicken,Galliformes,,y
